Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.44339036941528,8.9412584900856,9.80847328901291,9.94828939437866,10.6227658689022,9.90467444062233,10.2564953267574,9.81848761439323,8.56967121362686,8.56190696358681,7.89717584848404,8.80594030022621,9.52887013554573,10.1053476333618,10.9619833528996,11.7771938443184,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.48903276026249,3.83787713944912,3.73004153370857,3.60104106366634,3.5440731793642,3.23516130447388,3.35510186851025,3.82141582667828,4.20188382267952,5.35939559340477,5.11717163026333,5.26748076081276,6.00050985813141,6.03576265275478,6.54721409082413,6.97847604751587,6.60384446382523,6.37432187795639,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.34810116887093,9.3630313873291,9.11928117275238,8.46399590373039,8.21054354310036,8.56598243117332,8.43428149819374,8.42840224504471,8.79254192113876,9.02673676609993,9.44967120885849,9.76589396595955,10.0469410419464,10.1121135056019,10.2764785289764,10.2527126669884,10.3241071105003,10.3205524384975,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.90859939903021,4.48351614177227,3.32946144044399,3.54797318577766,3.96720096468925,2.85219699144363,2.68553663045168,2.97438818961382,3.3229049295187,3.8426086306572,2.69510000944138,2.64560803771019,2.3957496508956,2.73282770067453,2.43412852287292,2.60579492896795,2.71314904093742,2.79150027781725,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.48070093989372,5.28030395507813,5.42647168040276,5.81217333674431,5.25792725384235,4.97074946761131,4.66922409832478,4.70824651420116,4.39310222864151,4.39794473350048,5.18709681928158,5.29601573944092,5.19106052815914,5.4170910269022,5.25245517492294,4.70175370573998,4.35729622840881,4.53353188931942,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.99920104580472,4.30207239052812,4.28734254967846,4.1330756599558,3.80140864718916,3.48938778880064,3.48466228300041,3.57240417176942,3.40470702649575,4.45743584352572,3.98654907794312,3.93652709478643,4.01012997259151,4.22882786591773,4.54657394618156,5.10373421198041,4.99588152369827,4.85796910085996,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.46696421504021,8.62096771597862,7.64670222997665,7.11225420236588,7.22868293523788,7.61083886027336,7.55024775862694,7.61110708117485,7.6721653342247,9.01046246290207,8.61366242170334,8.39656293392181,8.45703780651093,8.37134718894959,8.25823321938515,8.78850445151329,7.54439905285835,9.12431478500366,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.19580340385437,4.64562699198723,7.61359855532646,7.17937499284744,6.05508536100388,5.86188286542892,5.85007108747959,5.4981455206871,6.63976222276688,8.4437794983387,9.23539102077484,9.37587842345238,9.13455188274384,10.3234454989433,10.1782701909542,10.1176336407661,9.95196625590324,10.3627048432827,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.61387273669243,7.69631192088127,7.89325833320618,7.90440812706947,8.1095926463604,7.99011960625649,7.98937752842903,8.0675832927227,8.25580209493637,8.56322199106216,8.43084380030632,8.54151993989944,8.67569968104362,8.75855982303619,9.03803408145905,9.31473970413208,9.19608399271965,9.20594781637192,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.20371413230896,9.26942899823189,9.39476490020752,9.54723954200745,9.70939844846725,9.62702929973602,9.53113287687302,9.53209698200226,9.72564592957497,10.2258250117302,10.2210186421871,10.0261330604553,10.1991556584835,10.2857492864132,10.3680923581123,10.3677898645401,10.4191698133945,10.3966169059277,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.89368310570717,3.67045924067497,3.68486009538174,5.94567432999611,7.19478204846382,7.43525326251984,5.76135404407978,4.66374270617962,4.05234508216381,5.20230904221535,4.76775504648685,4.50815260410309,4.9017746001482,5.05413673818111,5.46774417161942,6.7139521241188,6.66313469409943,6.65182918310165,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.03386577963829,4.01249080896378,4.15146946907043,4.35631349682808,4.66123670339584,4.65086400508881,5.38886599242687,5.52871823310852,5.79177998006344,5.93660548329353,5.92425242066383,6.04883804917336,6.04767948389053,6.02467283606529,5.89146576821804,5.71438558399677,6.07141181826591,5.75888901948929,..,..,..
