Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Afghanistan,AFG,0.170626997947693,..,..,..,..,..,..,..,..,..,0.199000000953674,..,..,..,..,..,..,..,..,..,..,0.275599986314774,..,..,..,..,..,0.3091000020504,..,..,0.2497999966,..,..,..,..,..,..,..,..,..,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Albania,ALB,5.1026759147644,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.27169990539551,4.18709993362427,4.16069984436035,4.08620023727417,4.13899993896484,4.13880014419556,4.06969976425171,3.97000002861023,3.93549990653992,4.13210010528564,4.0248999596,3.9986999035,4.0134000778,3.8313999176,3.0171000957,3.1900000572,3.1400001049,3.0499999523,3.0499999523,3.0299999714,3.3,3.3,3.1,3.1,3,3.1,3.1,3.1,..,3,3,2.6,2.9,2.9,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Algeria,DZA,3.18740749359131,..,..,..,..,..,..,..,..,..,2.84249997138977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.48839998245239,..,2.62899994850159,2.56439995765686,2.4993000031,..,..,..,2.1031999588,..,..,..,2.0999999046,..,..,..,..,..,1.7,..,..,..,..,..,..,..,..,..,..,1.9,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.1800000668,3,3.0899999142,3.2000000477,3.2000000477,2.5899999142,..,3.2999999523,..,2.7,2.6,2.6,..,2.5,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Angola,AGO,2.06146168708801,..,..,..,..,..,..,..,..,..,2.72099995613098,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2913000584,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Antigua and Barbuda,ATG,7.70642185211182,..,..,..,..,..,..,..,..,..,6.53000020980835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5999999046,..,..,6.1048002243,..,..,3.8800001144,..,..,..,..,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,..,3.9,3.8,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Arab World,ARB,1.92730144882262,..,..,..,..,..,..,..,..,..,1.91788556013217,..,..,..,..,1.58381419388698,..,..,..,..,..,1.7076106017146,..,..,..,..,..,..,..,..,1.79558140293835,..,..,..,..,..,..,..,..,..,1.59791104698031,1.63946676396227,1.57479931646334,1.57406297803304,1.61232903776576,1.63026123576705,1.65251768584598,1.61711397143207,1.64162360989422,1.52831050670504,1.52952286081567,1.16022306555643,1.15838267090974,1.15189918671102,1.62452358057313,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Argentina,ARG,6.35225057601929,..,..,..,..,..,..,..,..,..,5.58580017089844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5942997932,..,..,4.5999999046,..,..,3.2899999619,..,..,..,4.1,..,..,..,..,4,..,..,..,..,4.5,4.5,4.7,4.9,5,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.39540004730225,8.57839965820313,8.68280029296875,8.54810047149658,8.66009998321533,8.69919967651367,9.02420043945313,8.99660015106201,9.19040012359619,9.03579998016357,9.0947999954,8.529299736,8.3676996231,8.2146997452,7.765999794,7.6399998665,7.1300001144,6.75,6.6599998474,6.1999998093,6.4,5,4.3,4.4,4.4,4.5,4.4,4.1,3.8,3.7,3.7,3.7,4,4.1,..,4.2,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
